"UUID","time_stamp","T1_time","T2_time","age","gender","education","field","semester","KQ_1","KQ_2","KQ_3","KQ_4","KQ_5","KQ_6","KQ_7","KQ_8","KQ_9","KQ_10","KQ_11","KQ_12","T1_UQ_1","T1_UQ_2","T1_UQ_3","T1_UQ_4","T1_UQ_5","T1_UQ_6","T1_UQ_7","T1_UQ_8","T1_UQ_9","T1_UQ_10","T1_UQ_11","T1_UQ_12","T1_UQ_13","T1_UQ_14","T1_UQ_15","T1_UQ_16","T1_LQ_1","T1_LQ_2","T1_LQ_3","T1_LQ_4","T1_LQ_5","T1_LQ_6","T1_LQ_7","T1_LQ_8","T1_LQ_9","T1_LQ_10","T1_LQ_11","T1_LQ_12","T1_LQ_13","T1_LQ_14","T1_LQ_15","T1_LQ_16","T1_LQ_17","T1_LQ_18","T2_UQ_1","T2_UQ_2","T2_UQ_3","T2_UQ_4","T2_UQ_5","T2_UQ_6","T2_UQ_7","T2_UQ_8","T2_UQ_9","T2_UQ_10","T2_UQ_11","T2_UQ_12","T2_UQ_13","T2_UQ_14","T2_LQ_1","T2_LQ_2","T2_LQ_3","T2_LQ_4","T2_LQ_5","T2_LQ_6","T2_LQ_7","T2_LQ_8","T2_LQ_9","T2_LQ_10","T2_LQ_11","T2_LQ_12","T2_LQ_13","T2_LQ_14","T2_LQ_15","T2_LQ_16","T2_LQ_17","T2_LQ_18","CQ_1","CQ_2","CQ_3","CQ_4","CQ_5","CQ_6","CQ_7","FQ_1","FQ_2","FQ_3","FQ_4","FQ_5","FQ_6","FQ_7","FQ_8","T1_LQ_agg","T2_LQ_agg","T1_UQ_2_dont-know","T1_UQ_2_perf","T1_UQ_3_dont-know","T1_UQ_3_perf","T1_UQ_4_dont-know","T1_UQ_4_perf","T1_UQ_5_dont-know","T1_UQ_5_perf","T1_UQ_6_dont-know","T1_UQ_6_perf","T1_UQ_7_dont-know","T1_UQ_7_perf","T1_UQ_8_dont-know","T1_UQ_8_perf","T1_UQ_9_dont-know","T1_UQ_9_perf","T1_UQ_10_dont-know","T1_UQ_10_perf","T1_UQ_11_dont-know","T1_UQ_11_perf","T1_UQ_12_dont-know","T1_UQ_12_perf","T1_UQ_13_dont-know","T1_UQ_13_perf","T2_UQ_2_dont-know","T2_UQ_2_perf","T2_UQ_3_dont-know","T2_UQ_3_perf","T2_UQ_4_dont-know","T2_UQ_4_perf","T2_UQ_5_dont-know","T2_UQ_5_perf","T2_UQ_6_dont-know","T2_UQ_6_perf","T2_UQ_7_dont-know","T2_UQ_7_perf","T2_UQ_8_dont-know","T2_UQ_8_perf","T2_UQ_9_dont-know","T2_UQ_9_perf","T2_UQ_10_dont-know","T2_UQ_10_perf","T2_UQ_11_dont-know","T2_UQ_11_perf","T1_perf_agg","T1_dont-know_agg","T2_perf_agg","T2_dont-know_agg"
"27f79f","2025/03/17 10:43:20 am","647","1568","25-34 years old","male","master","computer science","6+","yes","study/university","docker compose","2","docker compose","no","no","no","no","no","no","nan","demaf","11.0","2.0","none of the left","orchestrator","uibackend","none of the left","don't know","8080","80","25","no","eventuate:eventuate","no","no","","4","2","2","5","3","4","3","5","3","2","4","5","3","3","4","4","intuitive colorcoding, ability to reorganize the arrangement of nodes","no search function i was aware of","monokle","23.0","1.0","checkout service","none of the left","product catalog service","none of the left","1.11.1","9092","27017","mongo:mongo_product_catalog","yes","yes","1.0","5","2","5","5","6","2","2","3","1","5","2","1","3","2","3","2","lots of detailed information","not very intuitive to me","1","2","1","2","3","demaf","nan","very interesting to see different visualization options","the documentations were little helpful at better understanding the task","search function","1","2","3","yes","nan","3.2","4.6","0.0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","75.0","1.0","40.0","0.0"
"b69722","2025/03/19 11:12:05 am","1705","1484","25-34 years old","female","bachelor","elektrotechnik und informationstechnik","3","no","nan","nan","1","nan","no","no","no","no","no","no","nan","monokle","11.0","","don't know","don't know","don't know","don't know","don't know","8080","80","don't know","don't know","nan","yes","no","","7","6","7","6","6","1","1","2","1","2","1","3","2","1","2","1","nan","nan","demaf","10.0","2.0","none of the left","none of the left","none of the left","none of the left","don't know","9092","27017","mongo:mongo_product_catalog","yes","yes","2.0","5","5","6","3","4","1","3","4","3","3","2","4","3","2","4","2","nan","summary nicht nötig, dokumentiert wurde alles vor dem upload zu ausführlich und danach zu wenig","3","2","3","2","4","indecisive","nan","nan","schwierig ohne vorwissen, ich habe nur nach wörtern aus den fragestellungen gesucht","nan","2","5","5","maybe","nan","6.4","4.6","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","100.0","0.0","100.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","16.666666666666668","7.0","60.0","1.0"
"f931c7","2025/03/19 3:24:02 pm","1550","1840","18-24 years old","male","bachelor","software engineering","2","yes","work","['docker compose' 'kubernetes']","2","kubernetes","no","unsure","yes","yes","yes","no","nan","monokle","12.0","9.0","none of the left","none of the left","none of the left","none of the left","don't know","80","80","1","no","inventory:inventory","yes","yes","2.0","4","2","5","4","2","4","4","4","3","4","3","5","4","5","5","4","the tool was good visually and i could navigate easily through the files . also the structure was good to navigate through the sub modules and attributes.","as of such not much negative had all necessary visualization qualities so satisfies with it .","demaf","12.0","2.0","none of the left","none of the left","none of the left","none of the left","1.11.1","nan","27017","mongo:mongo_product_catalog","yes","yes","5.0","5","4","5","5","3","3","2","4","3","4","3","2","2","3","3","3","the tool had good graphical representation and the modules had all attributes described at a single node so easier to interpret. ","the connections were clear but not easily understandable until you get a right hang of it ","4","4","4","5","3","other tool","nan","exploring the attributes and connecting the dots through it.","yes a bit challenging","nan","1","2","2","yes","nan","3.4","4.4","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","1.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","58.333333333333336","1.0","50.0","0.0"
"9bbcd6","2025/03/20 11:07:43 am","1781","1225","25-34 years old","female","master","water resources engineering and management","nan","no","nan","nan","1","nan","no","no","no","no","no","no","nan","demaf","11.0","1.0","none of the left","orchestrator","ui","none of the left","don't know","8080","don't know","25","no","inventory:inventory","yes","yes","5.0","5","4","5","5","1","4","5","5","4","5","4","5","5","4","5","5","nan","nan","monokle","26.0","","don't know","don't know","don't know","don't know","1.11.1","9092","don't know","mongo_initdb_root_username:mongo_initdb_root_password","no","yes","3.0","7","2","2","6","4","2","2","1","2","5","2","3","3","3","3","3","nan","nan","2","2","2","2","2","demaf","nan","nan","nan","nan","1","2","2","yes","nan","4.0","4.2","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","1.0","0.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","100.0","1.0","0.0","0.0","0.0","66.66666666666667","2.0","20.0","5.0"
"54fa1e","2025/03/20 11:11:07 am","1231","1407","25-34 years old","male","master","data science","5","no","nan","nan","3","nan","unsure","no","yes","unsure","yes","yes","inframap","demaf","1.0","6.0","orchestrator","inventory","uibackend","order","don't know","8080","8080","25","no","eventuate:eventuate","yes","no","","1","1","3","2","1","4","4","4","4","4","4","3","3","4","3","4","simple and easy to use","nan","monokle","1.0","1.0","checkout service","none of the left","product catalog service","don't know","1.11.1","9093","don't know","mongo:mongo_product_catalog","yes","no","","5","4","5","5","5","1","2","3","3","2","2","3","2","2","2","2","nan","so much information","2","2","2","2","2","demaf","nan","easy to use","nan","nan","1","2","2","yes","nan","1.6","4.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","1.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","100.0","1.0","0.0","0.0","100.0","41.666666666666664","1.0","20.0","2.0"
"919b06","2025/03/21 4:50:57 pm","1206","1848","18-24 years old","male","no higher education level","it systemengineer information security","nan","yes","['homelab' 'work']","docker compose","2","docker compose","no","no","no","no","no","no","nan","monokle","11.0","1.0","order","order","cart","cart","don't know","8080","80","25","don't know","eventuate:eventuate","no","no","","3","1","3","2","3","3","3","4","3","2","3","4","4","3","4","4","tree structure, link function based on the graphs, dark theme","submenus are huge in the form tab","demaf","22.0","2.0","none of the left","none of the left","none of the left","none of the left","8.0.0-rc9","9092","27017","mongo:mongo_product_catalog","yes","yes","4.0","5","3","3","5","6","3","3","2","2","4","2","2","2","2","2","2","browser based, filter buttons granulare veränderung des detailgrads, umschaltmöglichkeit zwischen grafischer und textbasierter darstellung ","default ansicht ist überladen, da alles auf wenig platz dargestellt wird (wenige levels in der darstellung). kommunikatonsbeziehung waren dadurch schlecht nachzuvollziehen ohne die bausteine zu verschieben. textsuche geht nur durch browsersuche (strg f). namen sind abgekürzt, dadurch schwer zu finden. ","4","4","4","3","2","indecisive","beide tools haben vor und nachteile. was mir in monokel besser gefallen hat ist die darstellung in ordnerstruktur. demaf hat eine bessere übersicht über die kommunikationsbeziehungen aber man muss die bausteine erst verschieben um von der ansicht zu profitieren. die detailansicht die sich durch klicken auf die bausteine öffnet, ist gut struktiuriert und granular. wenn man die ansicht verändert und noch eine ordnerstruktur dazu baut ist das tool fast sogar besser wie monokel. ","direkter vergleich zwischen zwei tools. ","nan","nan","1","2","2","yes","nan","2.4","4.4","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","41.666666666666664","2.0","70.0","0.0"
"f7aed8","2025/03/24 10:41:46 am","1155","817","25-34 years old","male","bachelor","computer science","5","yes","['personal life/projects' 'work' 'study/university']","['kubernetes' 'chef' 'ansible' 'terraform' 'docker compose']","4","docker compose","no","yes","no","unsure","yes","yes","kubeview","demaf","13.0","1.0","none of the left","orchestrator","uibackend","none of the left","don't know","8080","80","25","no","inventory:inventory","yes","yes","3.0","5","3","5","5","4","5","4","5","4","4","3","4","4","3","4","4","the tool was helpful but documentation could be more.","may be some tutorials could be useful.","monokle","26.0","2.0","don't know","don't know","don't know","don't know","8.0.0-rc9","9092","don't know","mongo:mongo_product_catalog","yes","yes","3.0","5","5","4","5","6","3","3","3","2","4","4","3","5","4","4","3","i can find the values very fast through this tool because, the search feature was quite nice and intutive.","visualisation was not clear, some hints could be better to understand difference between services, config, databases etc.","4","3","2","4","4","indecisive","for some part demaf was better like visualisation and for other part like finding the values i found the monokule tool much helpful.","i like the mentor for the help for the hints and understanding the problem statement better.","yes a little bit challenging may be because i was using it first time.","documentation could be improved and some videos could be helpful like tutorials.","1","1","1","yes","thanks","4.4","5.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","100.0","75.0","1.0","50.0","5.0"
"894bea","2025/03/24 4:42:35 pm","1790","1216","25-34 years old","male","bachelor","computer science","4","yes","study/university","docker compose","4","docker compose","no","no","no","no","no","no","nan","monokle","","","don't know","don't know","don't know","don't know","don't know","8080","8080","don't know","no","inventory:inventory","yes","yes","3.0","5","2","3","6","5","1","2","3","2","2","2","1","2","3","3","1","nice file structure","search feature","demaf","21.0","2.0","none of the left","none of the left","none of the left","none of the left","don't know","9092","27017","mongo:mongo_product_catalog","yes","no","","2","2","2","2","2","4","4","4","4","3","4","4","4","5","4","4","graph structure","names of the nodes","1","1","1","2","1","demaf","nan","exploring different models.","description of the tasks were not clear.","nan","3","2","1","yes","nan","4.2","2.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","100.0","0.0","0.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","25.0","6.0","60.0","1.0"
"5b7292","2025/03/25 2:56:00 pm","1131","1267","25-34 years old","male","bachelor","ai and data science","1","yes","['personal life/projects' 'work' 'study/university']","docker compose","3","docker compose","no","unsure","unsure","no","no","no","nan","monokle","12.0","2.0","order","order","cart","cart","main","8080","8080","don't know","no","eventuate:eventuate","yes","yes","2.0","5","3","5","5","5","2","2","4","2","3","2","5","4","3","4","4","pleasant user-interface","not sure if i understood the graphs correctly","demaf","12.0","1.0","none of the left","none of the left","none of the left","none of the left","8.0.0-rc9","don't know","27017","mongo:mongo_product_catalog","yes","yes","4.0","5","4","3","4","4","3","2","2","1","2","2","3","3","2","3","2","in browser usage","kind of overloaded, confusing user interface","4","4","5","5","3","other tool","auto align feature of the nodes for demaf","hands on practical usage of tools","switching between tabs of the exercise and the documentation","no not really","2","3","2","yes","-","4.6","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","41.666666666666664","1.0","50.0","1.0"
"ad6229","2025/03/25 3:04:13 pm","1348","1388","18-24 years old","male","bachelor","computer science","1","yes","work","['docker compose' 'kubernetes']","4","kubernetes","no","no","yes","no","yes","no","nan","demaf","","3.0","['ui' 'uibackend' 'order']","don't know","['ui' 'uibackend']","inventory","don't know","8080","don't know","25","no","eventuate:eventuate","no","yes","3.0","3","3","2","3","2","2","2","3","2","2","3","1","2","1","2","3","nan","ui could be much better with detailed graphics, graph connections in particular it looks very raw, adding a textbar where one could enter info about the nodes.","monokle","26.0","1.0","don't know","accounting service","product catalog service","product catalog service","1.11.1","9092","27017","mongo:mongo_product_catalog","yes","yes","1.0","6","3","5","5","4","1","3","2","3","2","2","4","2","2","2","3","ui was good, navigation to the source code was easy to interpret and this is where i found most of information rather than in graphs.","very complex to understand, documentation could be better, visualsation should have easy access to the information so user does not have to look around to understand things.","1","1","1","1","1","demaf","at first demaf was not visually appealing but easy to use, can get access to info easily as compared to monokle. but monokle's ui was much better. adding a button to show source code in the description of nodes would be a better idea.","nan","nan","nan","1","3","3","yes","nan","2.6","4.6","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","33.333333333333336","3.0","40.0","1.0"
"c62bc7","2025/03/25 4:22:19 pm","1077","855","18-24 years old","male","bachelor","computer science","3","yes","personal life/projects","kubernetes","2","kubernetes","unsure","yes","unsure","unsure","unsure","no","nan","demaf","5.0","2.0","none of the left","orchestrator","uibackend","none of the left","don't know","8080","80","25","don't know","nan","no","yes","3.0","4","2","4","4","5","2","3","2","3","4","3","2","4","2","3","2","nan","the jaeger i cant find and also the spring, and ui information was not visible and also the color coding of the components should be done and naming should be provided more convincing  ","monokle","12.0","1.0","none of the left","accounting service","product catalog service","['accounting service' 'product catalog service']","8.0.0-rc9","9092","27017","mongo:mongo_product_catalog","no","no","","3","2","2","5","3","2","5","4","4","4","4","1","1","2","3","3","it provides all the information using yaml file and easily accessible","the graphical representation was frustrating and confusing it was a hard to get the data directly from the graphical representation","4","4","4","3","3","indecisive","the monokle is good in terms of the resource distribution and its information and the demaf provides easy visualization compared to monokle in the monokle naming of the types should be improved the demaf can be improved with a ui and also the prettier for the yaml file","i got to know about new tools for visualization","interpreting graphical interface of monokle","nan","2","3","3","yes","nan","3.8","3.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","50.0","2.0","50.0","0.0"
"e6de2f","2025/03/25 4:27:06 pm","1321","1092","18-24 years old","male","bachelor","electrical engineering","2","no","nan","nan","1","nan","no","no","no","no","no","no","nan","monokle","12.0","9.0","don't know","don't know","don't know","don't know","main","8080","80","25","don't know","eventuate:eventuate","yes","no","","5","4","6","5","6","3","3","4","3","3","3","5","4","2","4","4","multiple ways to get information","nan","demaf","23.0","2.0","none of the left","none of the left","none of the left","none of the left","8.0.0-rc9","9092","27017","mongo:mongo_product_catalog","yes","yes","4.0","5","5","3","5","3","5","5","5","5","5","5","4","5","5","5","5","nan","can not see the full name until hovered over the block","1","1","1","1","1","demaf","nan","got to know about an easier tool","nan","if it could just show the service  or database name on the block without hovering over it","1","2","1","maybe","nan","5.2","4.2","0.0","100.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","50.0","5.0","70.0","0.0"
"6c0253","2025/03/25 4:28:10 pm","1212","1150","18-24 years old","male","bachelor","computer science","1","yes","work","['kubernetes' 'docker compose']","3","docker compose","no","no","no","no","yes","no","nan","demaf","13.0","1.0","none of the left","none of the left","uibackend","none of the left","main","80","8080","25","no","inventory:inventory","no","yes","5.0","1","1","1","1","1","5","5","4","4","5","4","5","5","5","5","5","the structure and the drag-in and drag-out feature","i liked it so far","monokle","26.0","1.0","none of the left","none of the left","none of the left","none of the left","8.0.0-rc9","9093","27017","mongo:mongo_product_catalog","no","yes","4.0","5","3","1","4","2","4","3","4","5","5","3","4","3","3","3","4","the dashboard and the graphs are appealing","database service could be separately shown and it's design is bit difficult to grasp at first glance","1","1","1","2","1","demaf","nan","i like most about the structure of the tool and the comparison between two tools justifies","it was clear after the documentation","i liked it so far","1","1","1","yes","nan","1.0","3.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","75.0","0.0","70.0","0.0"
